,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Owner,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Dealer,Seller_Type_Individual,Transmission_Automatic,Transmission_Manual
0,ritz,2014,3.35,5.59,27000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,sx4,2013,4.75,9.54,43000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2,ciaz,2017,7.25,9.85,6900,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
3,wagon r,2011,2.85,4.15,5200,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
4,swift,2014,4.6,6.87,42450,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5,vitara brezza,2018,9.25,9.83,2071,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6,ciaz,2015,6.75,8.12,18796,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
7,s cross,2015,6.5,8.61,33429,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
8,ciaz,2016,8.75,8.89,20273,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
9,ciaz,2015,7.45,8.92,42367,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
10,alto 800,2017,2.85,3.6,2135,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
11,ciaz,2015,6.85,10.38,51000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
12,ciaz,2015,7.5,9.94,15000,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
13,ertiga,2015,6.1,7.71,26000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
14,dzire,2009,2.25,7.21,77427,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
15,ertiga,2016,7.75,10.79,43000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
